NP_001018029.1;0.37470865
NP_001018030.1;0.028944314
NP_001018031.2;0.049215168
NP_001018032.1;0.08193174
NP_001018033.3;0.39030463
NP_001027023.1;0.43440238
NP_001027534.1;0.14469561
NP_001032571.3;0.17079559
NP_001032572.1;0.038738668
NP_001032573.1;0.7068014
NP_001032574.1;0.2776063
NP_001032575.1;0.3655088
NP_001032576.1;0.07569343
NP_001032577.1;0.08085236
NP_001032578.1;0.40753692
NP_001032579.1;0.54331565
NP_001032580.1;0.20364535
NP_001032581.1;0.15370432
NP_001032582.1;0.082648605
NP_001035220.1;0.04927337
NP_001073292.1;0.0783554
NP_001091638.1;0.114677876
NP_001106172.4;0.07597193
NP_001106949.1;0.2929574
NP_001254791.1;0.26453912
NP_001257667.1;0.073637456
NP_001257668.1;0.06592679
NP_001257669.1;0.034756094
NP_001257670.1;0.11106488
NP_001257671.1;0.13723159
NP_001257672.1;0.11385515
NP_001257673.1;0.338201
NP_001257674.1;0.08124551
NP_001257675.1;0.68991995
NP_001257676.1;0.4661787
NP_001257677.1;0.31358978
NP_001257678.1;0.07455975
NP_001257679.1;0.13198894
NP_001257680.1;0.434461
NP_001257681.1;0.67203015
NP_001257682.1;0.121982336
NP_001257683.1;0.6907131
NP_001257684.1;0.41004938
NP_001257685.1;0.07501528
NP_001257686.1;0.2548815
NP_001257687.1;0.06409308
NP_001257688.1;0.09706727
NP_001257689.1;0.07764289
NP_001257690.1;0.43261603
NP_001268465.1;0.013165176
NP_001288277.1;0.068933606
NP_001291943.1;0.07190496
NP_001291944.1;0.012127519
NP_001297596.1;0.11404881
NP_001333723.1;0.04997468
NP_001333724.1;0.3506186
NP_001333725.1;0.13539061
NP_001335736.1;0.09052253
NP_001335737.1;0.040558815
NP_001335738.1;0.44221887
NP_001335739.1;0.6255893
NP_001335740.1;0.43044436
NP_001335741.1;0.43622273
NP_001335742.1;0.0829362
NP_001335743.1;0.43247974
NP_001335744.1;0.46773577
NP_001335745.1;0.34655118
NP_001335746.1;0.07245427
NP_001335747.1;0.5211286
NP_001335748.1;0.17408583
NP_001335749.1;0.14151818
NP_001335750.1;0.39822003
NP_001335751.1;0.13927725
NP_001335752.1;0.6565776
NP_001335753.1;0.13408947
NP_001335754.1;0.06499708
NP_001335755.1;0.5771718
NP_001335756.1;0.113680094
NP_001335757.1;0.30861342
NP_001335758.1;0.09613672
NP_001335759.1;0.063382566
NP_001335760.1;0.20606706
NP_001335761.1;0.22376871
NP_001335762.1;0.08649057
NP_001335763.1;0.50122565
NP_001335764.1;0.2134547
NP_001335765.1;0.21131632
NP_001335766.1;0.7098781
NP_001335767.1;0.076206
NP_001335768.1;0.15453827
NP_001335769.1;0.67064846
NP_001335770.1;0.79827905
NP_001335771.1;0.03345701
NP_001335772.1;0.10473135
NP_001335773.1;0.18600428
NP_001335774.1;0.7000172
NP_001335775.1;0.64384484
