NP_001018029.1;0.8747019
NP_001018030.1;0.1743842
NP_001018031.2;0.1743842
NP_001018032.1;0.1743842
NP_001018033.3;0.641892
NP_001027023.1;0.17793652
NP_001027534.1;0.1743842
NP_001032571.3;0.36243522
NP_001032572.1;0.1743842
NP_001032573.1;0.9878855
NP_001032574.1;0.20368072
NP_001032575.1;0.9009981
NP_001032576.1;0.1743842
NP_001032577.1;0.1743842
NP_001032578.1;0.9816255
NP_001032579.1;0.9998654
NP_001032580.1;0.9626756
NP_001032581.1;0.35622627
NP_001032582.1;0.1743842
NP_001035220.1;0.1743842
NP_001073292.1;0.8344029
NP_001091638.1;0.6903314
NP_001106172.4;0.1743842
NP_001106949.1;0.72848636
NP_001254791.1;0.1743842
NP_001257667.1;0.1743842
NP_001257668.1;0.1743842
NP_001257669.1;0.1743842
NP_001257670.1;0.1743842
NP_001257671.1;0.1743842
NP_001257672.1;0.1743842
NP_001257673.1;0.1743842
NP_001257674.1;0.1743842
NP_001257675.1;0.95347714
NP_001257676.1;0.9109843
NP_001257677.1;0.17442265
NP_001257678.1;0.1743842
NP_001257679.1;0.1743842
NP_001257680.1;0.2607032
NP_001257681.1;0.9890522
NP_001257682.1;0.1743842
NP_001257683.1;0.7820822
NP_001257684.1;0.1743842
NP_001257685.1;0.1743842
NP_001257686.1;0.1743842
NP_001257687.1;0.1743842
NP_001257688.1;0.1743842
NP_001257689.1;0.1743842
NP_001257690.1;0.9928668
NP_001268465.1;0.8740543
NP_001288277.1;0.1743842
NP_001291943.1;0.1743842
NP_001291944.1;0.9983664
NP_001297596.1;0.44267613
NP_001333723.1;0.1743842
NP_001333724.1;0.1743842
NP_001333725.1;0.1743842
NP_001335736.1;0.9834772
NP_001335737.1;0.1743842
NP_001335738.1;0.5750589
NP_001335739.1;0.263935
NP_001335740.1;0.42691407
NP_001335741.1;0.9861498
NP_001335742.1;0.1743842
NP_001335743.1;0.6923695
NP_001335744.1;0.27897322
NP_001335745.1;0.1743842
NP_001335746.1;0.1743842
